epoch: 0	train ppl: 535.7064065564074	val ppl: 286.4176712962121	best val: 286.4176712962121	time (s) spent in epoch: 160.71361708641052
epoch: 1	train ppl: 299.82893150232223	val ppl: 229.48690625398726	best val: 229.48690625398726	time (s) spent in epoch: 160.7728202342987
epoch: 2	train ppl: 243.6301396336817	val ppl: 200.3832947599145	best val: 200.3832947599145	time (s) spent in epoch: 160.75233387947083
epoch: 3	train ppl: 211.25223166641808	val ppl: 180.70310106488262	best val: 180.70310106488262	time (s) spent in epoch: 160.74448227882385
epoch: 4	train ppl: 188.0933767482562	val ppl: 166.01010236267496	best val: 166.01010236267496	time (s) spent in epoch: 160.75074863433838
epoch: 5	train ppl: 170.32252784686517	val ppl: 154.4569506428474	best val: 154.4569506428474	time (s) spent in epoch: 160.71976923942566
epoch: 6	train ppl: 156.46641359476726	val ppl: 148.83963168526344	best val: 148.83963168526344	time (s) spent in epoch: 160.7209436893463
epoch: 7	train ppl: 145.0294172474547	val ppl: 139.7425647108457	best val: 139.7425647108457	time (s) spent in epoch: 160.73160767555237
epoch: 8	train ppl: 135.3050993104124	val ppl: 138.2150650389601	best val: 138.2150650389601	time (s) spent in epoch: 160.72087979316711
epoch: 9	train ppl: 126.86514853343999	val ppl: 132.48945002282795	best val: 132.48945002282795	time (s) spent in epoch: 160.77839612960815
epoch: 10	train ppl: 120.12529222074693	val ppl: 129.65655706880506	best val: 129.65655706880506	time (s) spent in epoch: 160.7442982196808
epoch: 11	train ppl: 113.79648174248335	val ppl: 129.8429427416131	best val: 129.65655706880506	time (s) spent in epoch: 160.73120307922363
epoch: 12	train ppl: 108.19436224373943	val ppl: 126.19296983949255	best val: 126.19296983949255	time (s) spent in epoch: 160.74409937858582
epoch: 13	train ppl: 103.22533202352385	val ppl: 122.01111458551874	best val: 122.01111458551874	time (s) spent in epoch: 160.7335240840912
epoch: 14	train ppl: 98.45158099954212	val ppl: 120.70886895032348	best val: 120.70886895032348	time (s) spent in epoch: 160.7118592262268
epoch: 15	train ppl: 94.26815966781224	val ppl: 119.49548061747953	best val: 119.49548061747953	time (s) spent in epoch: 160.70984721183777
epoch: 16	train ppl: 90.61425435531415	val ppl: 117.6999281857614	best val: 117.6999281857614	time (s) spent in epoch: 160.74855422973633
epoch: 17	train ppl: 87.11838159474323	val ppl: 115.60736736954172	best val: 115.60736736954172	time (s) spent in epoch: 160.74198198318481
epoch: 18	train ppl: 84.00506223600561	val ppl: 116.91496446146454	best val: 115.60736736954172	time (s) spent in epoch: 160.73905229568481
epoch: 19	train ppl: 81.09932891321988	val ppl: 116.26037163580621	best val: 115.60736736954172	time (s) spent in epoch: 160.74166822433472
epoch: 20	train ppl: 78.36309174225727	val ppl: 114.64847704751072	best val: 114.64847704751072	time (s) spent in epoch: 160.72165060043335
epoch: 21	train ppl: 75.61479769085523	val ppl: 114.97917360696339	best val: 114.64847704751072	time (s) spent in epoch: 160.7353596687317
epoch: 22	train ppl: 73.40463077497239	val ppl: 116.46942480535193	best val: 114.64847704751072	time (s) spent in epoch: 160.77405166625977
epoch: 23	train ppl: 71.22701173124963	val ppl: 115.56835427481914	best val: 114.64847704751072	time (s) spent in epoch: 160.7196023464203
epoch: 24	train ppl: 69.10418049276907	val ppl: 114.37502046535413	best val: 114.37502046535413	time (s) spent in epoch: 160.77103757858276
epoch: 25	train ppl: 67.21681378092785	val ppl: 116.01278671038274	best val: 114.37502046535413	time (s) spent in epoch: 160.7753131389618
epoch: 26	train ppl: 65.62641770744058	val ppl: 115.98406695275708	best val: 114.37502046535413	time (s) spent in epoch: 160.741290807724
epoch: 27	train ppl: 63.95863017924658	val ppl: 116.49117351837363	best val: 114.37502046535413	time (s) spent in epoch: 160.73646903038025
epoch: 28	train ppl: 62.435778890400975	val ppl: 114.73769714611304	best val: 114.37502046535413	time (s) spent in epoch: 160.72275686264038
epoch: 29	train ppl: 61.02804171471443	val ppl: 115.15027438760407	best val: 114.37502046535413	time (s) spent in epoch: 160.69917011260986
epoch: 30	train ppl: 59.55568911651444	val ppl: 116.11915896388588	best val: 114.37502046535413	time (s) spent in epoch: 160.74247074127197
epoch: 31	train ppl: 58.48529356706399	val ppl: 117.337496899981	best val: 114.37502046535413	time (s) spent in epoch: 160.72194290161133
epoch: 32	train ppl: 57.14235079118268	val ppl: 117.67935984560164	best val: 114.37502046535413	time (s) spent in epoch: 160.76790714263916
epoch: 33	train ppl: 56.00403505674508	val ppl: 117.88060543566262	best val: 114.37502046535413	time (s) spent in epoch: 160.7188630104065
epoch: 34	train ppl: 55.0940564385107	val ppl: 119.06317125500486	best val: 114.37502046535413	time (s) spent in epoch: 160.72407746315002
epoch: 35	train ppl: 53.967336495100106	val ppl: 118.45201912880117	best val: 114.37502046535413	time (s) spent in epoch: 160.7679305076599
epoch: 36	train ppl: 53.2485414728417	val ppl: 118.71925074055592	best val: 114.37502046535413	time (s) spent in epoch: 160.70727252960205
epoch: 37	train ppl: 52.20301683694991	val ppl: 118.18648931622091	best val: 114.37502046535413	time (s) spent in epoch: 160.7444930076599
epoch: 38	train ppl: 51.3832936119446	val ppl: 120.41039552413685	best val: 114.37502046535413	time (s) spent in epoch: 160.72560381889343
epoch: 39	train ppl: 50.59558056416469	val ppl: 121.58100976720122	best val: 114.37502046535413	time (s) spent in epoch: 160.72901248931885
