epoch: 0	train ppl: 180996.90934021253	val ppl: 22708.90579102055	best val: 22708.90579102055	time (s) spent in epoch: 28.322550058364868
epoch: 1	train ppl: 5672.500967837666	val ppl: 1895.9094816219222	best val: 1895.9094816219222	time (s) spent in epoch: 28.332288026809692
epoch: 2	train ppl: 1516.685480235319	val ppl: 913.3970305560626	best val: 913.3970305560626	time (s) spent in epoch: 28.604896783828735
epoch: 3	train ppl: 828.114128210284	val ppl: 682.9664158349966	best val: 682.9664158349966	time (s) spent in epoch: 28.815219163894653
epoch: 4	train ppl: 617.236749520245	val ppl: 511.32069602026445	best val: 511.32069602026445	time (s) spent in epoch: 28.971946954727173
epoch: 5	train ppl: 515.3765785434576	val ppl: 470.29114603465445	best val: 470.29114603465445	time (s) spent in epoch: 29.10797905921936
epoch: 6	train ppl: 439.6825681381333	val ppl: 508.363675935455	best val: 470.29114603465445	time (s) spent in epoch: 29.121991872787476
epoch: 7	train ppl: 384.001648304812	val ppl: 333.6673417411933	best val: 333.6673417411933	time (s) spent in epoch: 29.175392866134644
epoch: 8	train ppl: 319.674932618716	val ppl: 399.1685136512241	best val: 333.6673417411933	time (s) spent in epoch: 29.292269706726074
epoch: 9	train ppl: 298.18070055095575	val ppl: 317.17923859812606	best val: 317.17923859812606	time (s) spent in epoch: 29.313153505325317
epoch: 10	train ppl: 264.0931577129112	val ppl: 253.52020261398235	best val: 253.52020261398235	time (s) spent in epoch: 29.323699235916138
epoch: 11	train ppl: 240.13871757162357	val ppl: 248.03144357414223	best val: 248.03144357414223	time (s) spent in epoch: 29.367555618286133
epoch: 12	train ppl: 221.24101852508048	val ppl: 272.6689511470414	best val: 248.03144357414223	time (s) spent in epoch: 29.41967511177063
epoch: 13	train ppl: 207.0452383228726	val ppl: 244.92523209894748	best val: 244.92523209894748	time (s) spent in epoch: 29.514402389526367
epoch: 14	train ppl: 191.4732993198824	val ppl: 224.0277429733811	best val: 224.0277429733811	time (s) spent in epoch: 29.584129810333252
epoch: 15	train ppl: 177.20583701655468	val ppl: 240.94552265482085	best val: 224.0277429733811	time (s) spent in epoch: 29.485883951187134
epoch: 16	train ppl: 159.67110403009545	val ppl: 207.75178041304017	best val: 207.75178041304017	time (s) spent in epoch: 29.546762228012085
epoch: 17	train ppl: 150.38400305796165	val ppl: 221.51263805449864	best val: 207.75178041304017	time (s) spent in epoch: 29.552043199539185
epoch: 18	train ppl: 136.17733578119928	val ppl: 177.76627085326473	best val: 177.76627085326473	time (s) spent in epoch: 29.617992401123047
epoch: 19	train ppl: 128.5015375283637	val ppl: 192.8924124541543	best val: 177.76627085326473	time (s) spent in epoch: 29.502137899398804
epoch: 20	train ppl: 116.66691085638723	val ppl: 199.63373271136268	best val: 177.76627085326473	time (s) spent in epoch: 29.50429892539978
epoch: 21	train ppl: 112.93689676737179	val ppl: 166.61390747067378	best val: 166.61390747067378	time (s) spent in epoch: 29.523159980773926
epoch: 22	train ppl: 101.39673462333388	val ppl: 175.31039471201697	best val: 166.61390747067378	time (s) spent in epoch: 29.564833879470825
epoch: 23	train ppl: 96.06639619344264	val ppl: 162.2713116523272	best val: 162.2713116523272	time (s) spent in epoch: 29.57116460800171
epoch: 24	train ppl: 90.09351653378073	val ppl: 200.7716136752542	best val: 162.2713116523272	time (s) spent in epoch: 29.56174874305725
epoch: 25	train ppl: 83.68180846143063	val ppl: 168.46724174694515	best val: 162.2713116523272	time (s) spent in epoch: 29.66817879676819
epoch: 26	train ppl: 78.72153028227008	val ppl: 180.827461100089	best val: 162.2713116523272	time (s) spent in epoch: 29.54831075668335
epoch: 27	train ppl: 72.18190912930405	val ppl: 275.6021784236963	best val: 162.2713116523272	time (s) spent in epoch: 29.57637667655945
epoch: 28	train ppl: 69.33891594562041	val ppl: 193.1068812042372	best val: 162.2713116523272	time (s) spent in epoch: 29.535887241363525
epoch: 29	train ppl: 64.3400835001938	val ppl: 186.04457063863174	best val: 162.2713116523272	time (s) spent in epoch: 29.525052785873413
epoch: 30	train ppl: 59.73790420410253	val ppl: 199.0355587031295	best val: 162.2713116523272	time (s) spent in epoch: 29.747799158096313
epoch: 31	train ppl: 55.94463429555734	val ppl: 203.12710083235993	best val: 162.2713116523272	time (s) spent in epoch: 29.584622383117676
epoch: 32	train ppl: 53.49178771591559	val ppl: 215.59638017326157	best val: 162.2713116523272	time (s) spent in epoch: 29.566648244857788
epoch: 33	train ppl: 49.07895045812445	val ppl: 192.20759953899972	best val: 162.2713116523272	time (s) spent in epoch: 29.554227113723755
epoch: 34	train ppl: 46.402968377697725	val ppl: 212.0311131659076	best val: 162.2713116523272	time (s) spent in epoch: 29.60365629196167
epoch: 35	train ppl: 43.07742259107111	val ppl: 211.13635647691146	best val: 162.2713116523272	time (s) spent in epoch: 29.622679233551025
epoch: 36	train ppl: 40.23838867489536	val ppl: 247.68253958414127	best val: 162.2713116523272	time (s) spent in epoch: 29.56560468673706
epoch: 37	train ppl: 37.58305389147566	val ppl: 234.52643662005872	best val: 162.2713116523272	time (s) spent in epoch: 29.606040239334106
epoch: 38	train ppl: 35.54977998697739	val ppl: 261.64700243975324	best val: 162.2713116523272	time (s) spent in epoch: 29.59824824333191
epoch: 39	train ppl: 33.39655141215689	val ppl: 274.9534702789253	best val: 162.2713116523272	time (s) spent in epoch: 29.5781512260437
