epoch: 0	train ppl: 316.0448858655266	val ppl: 174.28612821190197	best val: 174.28612821190197	time (s) spent in epoch: 67.89472913742065
epoch: 1	train ppl: 120.71065489131088	val ppl: 136.7121916327763	best val: 136.7121916327763	time (s) spent in epoch: 61.97130346298218
epoch: 2	train ppl: 76.78601527990054	val ppl: 131.28377770665415	best val: 131.28377770665415	time (s) spent in epoch: 61.90674710273743
epoch: 3	train ppl: 54.448110764345735	val ppl: 138.75073861223473	best val: 131.28377770665415	time (s) spent in epoch: 61.220213651657104
epoch: 4	train ppl: 40.44510359139708	val ppl: 152.532364894128	best val: 131.28377770665415	time (s) spent in epoch: 61.2150022983551
epoch: 5	train ppl: 30.99831997931227	val ppl: 173.83208218350728	best val: 131.28377770665415	time (s) spent in epoch: 61.214900732040405
epoch: 6	train ppl: 24.38012391540947	val ppl: 203.62260775742553	best val: 131.28377770665415	time (s) spent in epoch: 61.22149920463562
epoch: 7	train ppl: 19.540849684135694	val ppl: 238.73762290920774	best val: 131.28377770665415	time (s) spent in epoch: 61.20771908760071
epoch: 8	train ppl: 16.026132759018104	val ppl: 281.51035133578114	best val: 131.28377770665415	time (s) spent in epoch: 61.21199679374695
epoch: 9	train ppl: 13.420280069895407	val ppl: 333.96880960819345	best val: 131.28377770665415	time (s) spent in epoch: 61.21045708656311
epoch: 10	train ppl: 11.44876325039804	val ppl: 400.04270379941863	best val: 131.28377770665415	time (s) spent in epoch: 61.20668339729309
epoch: 11	train ppl: 9.997731098320203	val ppl: 465.94760173177133	best val: 131.28377770665415	time (s) spent in epoch: 61.205414056777954
epoch: 12	train ppl: 8.825226886735793	val ppl: 545.7793088486208	best val: 131.28377770665415	time (s) spent in epoch: 61.21691012382507
epoch: 13	train ppl: 7.915462943535466	val ppl: 638.468178911287	best val: 131.28377770665415	time (s) spent in epoch: 61.21864938735962
epoch: 14	train ppl: 7.174110402116377	val ppl: 743.9874427532425	best val: 131.28377770665415	time (s) spent in epoch: 61.22023248672485
epoch: 15	train ppl: 6.574539887937998	val ppl: 852.6253643241164	best val: 131.28377770665415	time (s) spent in epoch: 61.208285093307495
epoch: 16	train ppl: 6.094542206169563	val ppl: 966.6145391863394	best val: 131.28377770665415	time (s) spent in epoch: 61.2204794883728
epoch: 17	train ppl: 5.677476390028359	val ppl: 1119.0475542339866	best val: 131.28377770665415	time (s) spent in epoch: 61.22644352912903
epoch: 18	train ppl: 5.31464752719023	val ppl: 1265.948659612381	best val: 131.28377770665415	time (s) spent in epoch: 61.220733642578125
epoch: 19	train ppl: 5.013279573079275	val ppl: 1408.1222703282708	best val: 131.28377770665415	time (s) spent in epoch: 61.21967148780823
epoch: 20	train ppl: 4.763204019940233	val ppl: 1571.8360233105545	best val: 131.28377770665415	time (s) spent in epoch: 61.20915246009827
epoch: 21	train ppl: 4.5302040138826065	val ppl: 1756.3010666583473	best val: 131.28377770665415	time (s) spent in epoch: 61.22530269622803
epoch: 22	train ppl: 4.334080656541496	val ppl: 1978.0913007109898	best val: 131.28377770665415	time (s) spent in epoch: 61.127623081207275
epoch: 23	train ppl: 4.15989734818775	val ppl: 2169.833025714149	best val: 131.28377770665415	time (s) spent in epoch: 61.074002265930176
epoch: 24	train ppl: 4.004550499105311	val ppl: 2381.774520901569	best val: 131.28377770665415	time (s) spent in epoch: 61.059187173843384
epoch: 25	train ppl: 3.8672963579109405	val ppl: 2520.990157000186	best val: 131.28377770665415	time (s) spent in epoch: 61.06783390045166
epoch: 26	train ppl: 3.735968726497098	val ppl: 2812.127924404696	best val: 131.28377770665415	time (s) spent in epoch: 61.056273221969604
epoch: 27	train ppl: 3.623227065766045	val ppl: 2981.236376184534	best val: 131.28377770665415	time (s) spent in epoch: 61.07174468040466
epoch: 28	train ppl: 3.521837367278854	val ppl: 3269.9891492317415	best val: 131.28377770665415	time (s) spent in epoch: 61.06669282913208
epoch: 29	train ppl: 3.423768262777486	val ppl: 3417.233092516993	best val: 131.28377770665415	time (s) spent in epoch: 61.0679612159729
epoch: 30	train ppl: 3.3391339338875996	val ppl: 3594.846377538242	best val: 131.28377770665415	time (s) spent in epoch: 61.07610201835632
epoch: 31	train ppl: 3.257199207283362	val ppl: 3843.822888343848	best val: 131.28377770665415	time (s) spent in epoch: 61.07184195518494
epoch: 32	train ppl: 3.183980284060234	val ppl: 4057.365198958616	best val: 131.28377770665415	time (s) spent in epoch: 61.07508683204651
epoch: 33	train ppl: 3.1175521320863293	val ppl: 4313.143467584738	best val: 131.28377770665415	time (s) spent in epoch: 61.045066595077515
epoch: 34	train ppl: 3.0588572533229783	val ppl: 4577.497340568598	best val: 131.28377770665415	time (s) spent in epoch: 60.98596429824829
epoch: 35	train ppl: 2.9912357395443605	val ppl: 4898.697491281444	best val: 131.28377770665415	time (s) spent in epoch: 60.975367069244385
epoch: 36	train ppl: 2.934146641310175	val ppl: 5142.177177983056	best val: 131.28377770665415	time (s) spent in epoch: 60.990554332733154
epoch: 37	train ppl: 2.8866251589907184	val ppl: 5444.139140094305	best val: 131.28377770665415	time (s) spent in epoch: 60.971564054489136
epoch: 38	train ppl: 2.835293937747131	val ppl: 5641.890243588133	best val: 131.28377770665415	time (s) spent in epoch: 60.97663331031799
epoch: 39	train ppl: 2.7858839056534292	val ppl: 6029.673835846888	best val: 131.28377770665415	time (s) spent in epoch: 60.96151566505432
