epoch: 0	train ppl: 377.1130317470295	val ppl: 188.45844968958932	best val: 188.45844968958932	time (s) spent in epoch: 60.15212845802307
epoch: 1	train ppl: 133.65895761339178	val ppl: 138.8150644036169	best val: 138.8150644036169	time (s) spent in epoch: 57.69184970855713
epoch: 2	train ppl: 84.25373982207527	val ppl: 128.72702310787423	best val: 128.72702310787423	time (s) spent in epoch: 57.2516815662384
epoch: 3	train ppl: 60.181167520394126	val ppl: 130.28540122611736	best val: 128.72702310787423	time (s) spent in epoch: 56.96872305870056
epoch: 4	train ppl: 45.164574778046656	val ppl: 141.01856565351775	best val: 128.72702310787423	time (s) spent in epoch: 56.967217683792114
epoch: 5	train ppl: 35.07480672679448	val ppl: 156.14322691798444	best val: 128.72702310787423	time (s) spent in epoch: 56.96524262428284
epoch: 6	train ppl: 27.665414801123664	val ppl: 179.37442955003016	best val: 128.72702310787423	time (s) spent in epoch: 56.961148738861084
epoch: 7	train ppl: 22.21521151744461	val ppl: 207.9968059259207	best val: 128.72702310787423	time (s) spent in epoch: 56.96779918670654
epoch: 8	train ppl: 18.2198371193135	val ppl: 236.09716947903908	best val: 128.72702310787423	time (s) spent in epoch: 56.98284983634949
epoch: 9	train ppl: 15.228355348293109	val ppl: 274.87986148422493	best val: 128.72702310787423	time (s) spent in epoch: 56.994426250457764
epoch: 10	train ppl: 12.961906504717623	val ppl: 318.87493990275647	best val: 128.72702310787423	time (s) spent in epoch: 56.970749616622925
epoch: 11	train ppl: 11.220609337069147	val ppl: 367.39227915804355	best val: 128.72702310787423	time (s) spent in epoch: 56.96128559112549
epoch: 12	train ppl: 9.841957283886684	val ppl: 425.7004030937265	best val: 128.72702310787423	time (s) spent in epoch: 56.97732400894165
epoch: 13	train ppl: 8.751153685206855	val ppl: 494.71566175961135	best val: 128.72702310787423	time (s) spent in epoch: 56.99077224731445
epoch: 14	train ppl: 7.893609104144212	val ppl: 569.3600587350521	best val: 128.72702310787423	time (s) spent in epoch: 56.97310280799866
epoch: 15	train ppl: 7.181370968435614	val ppl: 663.5400396202841	best val: 128.72702310787423	time (s) spent in epoch: 56.97205662727356
epoch: 16	train ppl: 6.57086186114261	val ppl: 764.8839180586024	best val: 128.72702310787423	time (s) spent in epoch: 56.97269940376282
epoch: 17	train ppl: 6.081844957984972	val ppl: 898.0190803997275	best val: 128.72702310787423	time (s) spent in epoch: 56.97662925720215
epoch: 18	train ppl: 5.678888221773241	val ppl: 1004.3573629533835	best val: 128.72702310787423	time (s) spent in epoch: 56.98018431663513
epoch: 19	train ppl: 5.321295162997174	val ppl: 1124.492932780925	best val: 128.72702310787423	time (s) spent in epoch: 56.97439241409302
epoch: 20	train ppl: 5.019234206910584	val ppl: 1260.2650268924751	best val: 128.72702310787423	time (s) spent in epoch: 56.980114221572876
epoch: 21	train ppl: 4.754049342802295	val ppl: 1419.6670773910782	best val: 128.72702310787423	time (s) spent in epoch: 56.979737520217896
epoch: 22	train ppl: 4.520400398700662	val ppl: 1594.7452430605786	best val: 128.72702310787423	time (s) spent in epoch: 56.963188886642456
epoch: 23	train ppl: 4.319286191016484	val ppl: 1789.0065276941978	best val: 128.72702310787423	time (s) spent in epoch: 56.97941255569458
epoch: 24	train ppl: 4.135783516964984	val ppl: 1998.8215414414422	best val: 128.72702310787423	time (s) spent in epoch: 56.98706340789795
epoch: 25	train ppl: 3.9783050805120586	val ppl: 2170.945136208575	best val: 128.72702310787423	time (s) spent in epoch: 56.97728371620178
epoch: 26	train ppl: 3.831176083809487	val ppl: 2373.180278908849	best val: 128.72702310787423	time (s) spent in epoch: 56.9749550819397
epoch: 27	train ppl: 3.703853872120247	val ppl: 2609.1415888726783	best val: 128.72702310787423	time (s) spent in epoch: 56.971166133880615
epoch: 28	train ppl: 3.592404856716629	val ppl: 2802.422342230342	best val: 128.72702310787423	time (s) spent in epoch: 56.98564338684082
epoch: 29	train ppl: 3.4861397118562754	val ppl: 3019.832290602611	best val: 128.72702310787423	time (s) spent in epoch: 56.98975467681885
epoch: 30	train ppl: 3.400811246822259	val ppl: 3246.691580313403	best val: 128.72702310787423	time (s) spent in epoch: 56.97812104225159
epoch: 31	train ppl: 3.316073014962151	val ppl: 3425.09103739793	best val: 128.72702310787423	time (s) spent in epoch: 56.96877431869507
epoch: 32	train ppl: 3.238138077368764	val ppl: 3723.027684603605	best val: 128.72702310787423	time (s) spent in epoch: 56.978322982788086
epoch: 33	train ppl: 3.1631626132602952	val ppl: 3811.492040182162	best val: 128.72702310787423	time (s) spent in epoch: 56.96658968925476
epoch: 34	train ppl: 3.0929276330424282	val ppl: 4093.3915495384485	best val: 128.72702310787423	time (s) spent in epoch: 56.973604917526245
epoch: 35	train ppl: 3.0307807711022847	val ppl: 4425.370030402783	best val: 128.72702310787423	time (s) spent in epoch: 56.94093465805054
epoch: 36	train ppl: 2.974060142002314	val ppl: 4611.833687139002	best val: 128.72702310787423	time (s) spent in epoch: 56.97355270385742
epoch: 37	train ppl: 2.921679687839212	val ppl: 4973.937466019487	best val: 128.72702310787423	time (s) spent in epoch: 56.988075971603394
epoch: 38	train ppl: 2.8725540806246745	val ppl: 5228.01211210965	best val: 128.72702310787423	time (s) spent in epoch: 56.977941274642944
epoch: 39	train ppl: 2.8204823830893053	val ppl: 5508.224582033305	best val: 128.72702310787423	time (s) spent in epoch: 56.965927839279175
